Transaction Number,Items Bought
1,"['Basketball', 'Basketball Shoes', 'Gatorade Bottle']"
2,"['Swim Cap', 'Swim Goggles']"
3,"['Running Shoes', 'Electrolyte Gels', 'Gatorade Bottle']"
4,"['Golf Balls', 'Golf Shoes']"
5,"['Protein Powder', 'Electrolyte Gels']"
6,"['Basketball', 'Gatorade Bottle']"
7,"['Running Shoes', 'Gatorade Bottle']"
8,"['Swim Cap', 'Swim Goggles']"
9,"['Swim Cap', 'Gatorade Bottle']"
10,"['Swim Goggles', 'Gatorade Bottle']"
11,"['Basketball Shoes', 'Gatorade Bottle']"
12,"['Golf Shoes', 'Golf Balls']"
13,"['Running Shoes', 'Protein Powder', 'Electrolyte Gels']"
14,"['Basketball', 'Basketball Shoes']"
15,"['Running Shoes', 'Electrolyte Gels']"
16,"['Swim Cap', 'Swim Goggles', 'Gatorade Bottle']"
17,"['Golf Shoes', 'Golf Balls']"
18,"['Protein Powder', 'Gatorade Bottle']"
19,"['Basketball', 'Protein Powder']"
20,"['Running Shoes', 'Electrolyte Gels']"
21,"['Basketball', 'Basketball Shoes', 'Gatorade Bottle']"
22,"['Running Shoes', 'Electrolyte Gels']"
23,"['Swim Cap', 'Swim Goggles']"
24,"['Golf Balls', 'Golf Shoes']"
25,"['Basketball Shoes', 'Gatorade Bottle']"
26,"['Running Shoes', 'Gatorade Bottle', 'Protein Powder']"
27,"['Protein Powder', 'Electrolyte Gels']"
28,"['Swim Goggles', 'Gatorade Bottle']"
29,"['Basketball', 'Basketball Shoes']"
30,"['Running Shoes', 'Electrolyte Gels', 'Gatorade Bottle']"
31,"['Swim Cap', 'Gatorade Bottle']"
32,"['Basketball', 'Gatorade Bottle']"
33,"['Golf Shoes', 'Golf Balls']"
34,"['Running Shoes', 'Protein Powder']"
35,"['Basketball', 'Protein Powder', 'Gatorade Bottle']"
36,"['Swim Cap', 'Swim Goggles', 'Gatorade Bottle']"
37,"['Running Shoes', 'Electrolyte Gels', 'Gatorade Bottle']"
38,"['Basketball Shoes', 'Gatorade Bottle']"
39,"['Golf Balls', 'Golf Shoes']"
40,"['Running Shoes', 'Electrolyte Gels']"
41,"['Protein Powder', 'Gatorade Bottle']"
42,"['Swim Goggles', 'Gatorade Bottle']"
43,"['Basketball', 'Basketball Shoes']"
44,"['Running Shoes', 'Electrolyte Gels', 'Protein Powder']"
45,"['Golf Shoes', 'Golf Balls']"
46,"['Basketball', 'Gatorade Bottle']"
47,"['Swim Cap', 'Swim Goggles']"
48,"['Protein Powder', 'Electrolyte Gels']"
49,"['Running Shoes', 'Gatorade Bottle']"
50,"['Golf Balls', 'Golf Shoes']"
51,"['Basketball Shoes', 'Gatorade Bottle']"
52,"['Swim Goggles', 'Gatorade Bottle']"
53,"['Basketball', 'Basketball Shoes', 'Gatorade Bottle']"
54,"['Running Shoes', 'Protein Powder']"
55,"['Swim Cap', 'Gatorade Bottle']"
56,"['Golf Shoes', 'Golf Balls']"
57,"['Running Shoes', 'Electrolyte Gels']"
58,"['Basketball', 'Protein Powder', 'Gatorade Bottle']"
59,"['Swim Goggles', 'Gatorade Bottle']"
60,"['Basketball Shoes', 'Gatorade Bottle']"
61,"['Golf Balls', 'Golf Shoes']"
62,"['Running Shoes', 'Electrolyte Gels', 'Gatorade Bottle']"
63,"['Basketball', 'Gatorade Bottle']"
64,"['Swim Cap', 'Swim Goggles']"
65,"['Protein Powder', 'Electrolyte Gels']"
66,"['Golf Shoes', 'Golf Balls']"
67,"['Running Shoes', 'Gatorade Bottle']"
68,"['Basketball Shoes', 'Gatorade Bottle']"
